graph_size: (,)
field_type: Z32783
number_of_graphs: 66
23326; (0,3), (0,4), (0,5), (1,4), (1,5), (1,6), (2,4), (2,6), (2,7), (3,5), (3,7), (4,7), (5,7), (6,7)
25246; (0,3), (0,4), (0,7), (1,3), (1,4), (1,6), (2,3), (2,4), (2,5), (3,7), (4,7), (5,6), (5,7), (6,7)
13557; (0,3), (0,5), (0,6), (1,4), (1,6), (1,7), (2,4), (2,5), (2,7), (3,5), (3,7), (4,6), (5,7), (6,7)
23014; (0,4), (0,5), (0,6), (1,4), (1,5), (1,7), (2,3), (2,6), (2,7), (3,5), (3,7), (4,6), (5,7), (6,7)
14496; (0,4), (0,5), (0,6), (1,4), (1,5), (1,7), (2,4), (2,6), (2,7), (3,5), (3,6), (3,7), (4,6), (5,6)
23770; (0,4), (0,5), (0,7), (1,3), (1,4), (1,5), (2,5), (2,6), (2,7), (3,4), (3,6), (4,7), (5,7), (6,7)
9041; (0,4), (0,5), (0,7), (1,4), (1,5), (1,6), (2,3), (2,5), (2,7), (3,4), (3,6), (4,7), (5,7), (6,7)
22585; (0,5), (0,6), (0,7), (1,2), (1,5), (1,6), (2,5), (2,6), (3,4), (3,5), (3,7), (4,5), (4,7), (6,7)
5483; (0,5), (0,6), (0,7), (1,3), (1,5), (1,7), (2,4), (2,6), (2,7), (3,4), (3,5), (4,6), (5,7), (6,7)
17771; (0,5), (0,6), (0,7), (1,3), (1,5), (1,7), (2,4), (2,6), (2,7), (3,4), (3,6), (4,5), (5,7), (6,7)
13633; (0,5), (0,6), (0,7), (1,3), (1,6), (1,7), (2,4), (2,6), (2,7), (3,4), (3,5), (4,5), (5,7), (6,7)
