graph_size: (,)
field_type: Z32783
number_of_graphs: 66
30553; (0,1), (0,4), (0,5), (0,7), (1,2), (1,3), (1,7), (2,5), (2,7), (3,4), (3,6), (4,6), (5,6), (6,7)
14001; (0,1), (0,4), (0,6), (0,7), (1,3), (1,5), (1,6), (2,3), (2,4), (2,5), (3,5), (4,6), (4,7), (5,7)
28769; (0,1), (0,5), (0,6), (0,7), (1,3), (1,4), (1,6), (2,3), (2,4), (2,5), (3,5), (4,6), (4,7), (5,7)
23770; (0,1), (0,6), (0,7), (1,3), (1,4), (1,5), (1,6), (2,4), (2,6), (2,7), (3,5), (3,6), (4,7), (5,7)
19666; (0,2), (0,3), (0,4), (0,5), (0,7), (1,2), (1,3), (1,6), (2,4), (2,6), (3,6), (4,7), (5,6), (5,7)
7895; (0,2), (0,3), (0,4), (0,5), (0,7), (1,2), (1,6), (1,7), (2,5), (2,6), (3,5), (3,6), (4,6), (4,7)
9163; (0,2), (0,3), (0,5), (0,7), (1,2), (1,3), (1,4), (1,7), (2,6), (2,7), (3,4), (3,5), (4,6), (5,6)
24761; (0,2), (0,3), (0,6), (0,7), (1,2), (1,3), (1,6), (1,7), (2,5), (3,4), (4,5), (4,6), (5,7), (6,7)
24312; (0,2), (0,3), (0,6), (0,7), (1,3), (1,4), (1,6), (1,7), (2,4), (2,7), (3,5), (4,5), (5,6), (6,7)
15755; (0,2), (0,3), (0,6), (0,7), (1,3), (1,4), (1,6), (1,7), (2,5), (2,7), (3,4), (4,5), (5,6), (6,7)
28495; (0,2), (0,4), (0,6), (0,7), (1,2), (1,3), (1,6), (1,7), (2,5), (3,5), (3,6), (4,5), (4,7), (6,7)
31700; (0,2), (0,4), (0,6), (0,7), (1,3), (1,5), (1,6), (1,7), (2,4), (2,6), (3,5), (3,7), (4,5), (6,7)
31379; (0,2), (0,4), (0,6), (0,7), (1,3), (1,5), (1,6), (1,7), (2,5), (2,6), (3,4), (3,7), (4,5), (6,7)
8371; (0,3), (0,4), (0,5), (1,4), (1,5), (1,6), (2,4), (2,6), (2,7), (3,5), (3,7), (4,7), (5,7), (6,7)
15770; (0,3), (0,4), (0,7), (1,3), (1,4), (1,6), (2,3), (2,4), (2,5), (3,7), (4,7), (5,6), (5,7), (6,7)
21488; (0,3), (0,5), (0,6), (1,4), (1,6), (1,7), (2,4), (2,5), (2,7), (3,5), (3,7), (4,6), (5,7), (6,7)
13117; (0,4), (0,5), (0,6), (1,4), (1,5), (1,7), (2,3), (2,6), (2,7), (3,5), (3,7), (4,6), (5,7), (6,7)
18498; (0,4), (0,5), (0,6), (1,4), (1,5), (1,7), (2,4), (2,6), (2,7), (3,5), (3,6), (3,7), (4,6), (5,6)
21289; (0,4), (0,5), (0,7), (1,3), (1,4), (1,5), (2,5), (2,6), (2,7), (3,4), (3,6), (4,7), (5,7), (6,7)
1562; (0,4), (0,5), (0,7), (1,4), (1,5), (1,6), (2,3), (2,5), (2,7), (3,4), (3,6), (4,7), (5,7), (6,7)
27273; (0,5), (0,6), (0,7), (1,2), (1,5), (1,6), (2,5), (2,6), (3,4), (3,5), (3,7), (4,5), (4,7), (6,7)
7004; (0,5), (0,6), (0,7), (1,3), (1,5), (1,7), (2,4), (2,6), (2,7), (3,4), (3,5), (4,6), (5,7), (6,7)
12379; (0,5), (0,6), (0,7), (1,3), (1,5), (1,7), (2,4), (2,6), (2,7), (3,4), (3,6), (4,5), (5,7), (6,7)
17504; (0,5), (0,6), (0,7), (1,3), (1,6), (1,7), (2,4), (2,6), (2,7), (3,4), (3,5), (4,5), (5,7), (6,7)
