graph_size: (,)
field_type: Q
number_of_graphs: 66
3572507140281/1949983790888; (0,1), (0,2), (0,5), (1,2), (1,3), (1,4), (1,7), (2,3), (2,5), (3,7), (4,5), (4,6), (5,6), (6,7)
2700130108653/974991895444; (0,1), (0,2), (0,5), (1,2), (1,3), (1,4), (1,7), (2,5), (2,6), (3,5), (3,6), (4,5), (4,7), (6,7)
2497284803937/557138225968; (0,1), (0,2), (0,5), (1,2), (1,3), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (4,6), (5,7), (6,7)
-4776377608255/3899967581776; (0,1), (0,2), (0,6), (0,7), (1,2), (1,4), (1,7), (2,3), (2,6), (3,4), (3,5), (4,5), (5,6), (5,7)
2454812152175/1949983790888; (0,1), (0,2), (0,6), (0,7), (1,3), (1,5), (1,6), (2,4), (2,5), (3,4), (3,5), (4,6), (4,7), (6,7)
3596230495577/1949983790888; (0,1), (0,2), (0,6), (0,7), (1,5), (1,6), (1,7), (2,4), (2,5), (3,4), (3,5), (3,6), (4,6), (4,7)
-7132380316399/1949983790888; (0,1), (0,2), (0,6), (1,2), (1,3), (1,7), (2,4), (2,7), (3,4), (3,7), (4,5), (5,6), (5,7), (6,7)
-831092138113/974991895444; (0,1), (0,2), (0,6), (1,2), (1,4), (1,6), (2,3), (2,6), (3,6), (3,7), (4,5), (4,7), (5,6), (5,7)
-4776377608255/3899967581776; (0,1), (0,2), (0,7), (1,2), (1,4), (1,6), (2,3), (2,6), (3,6), (3,7), (4,5), (4,6), (5,6), (5,7)
1157644239331/974991895444; (0,1), (0,3), (0,4), (0,6), (1,2), (1,5), (1,6), (2,6), (2,7), (3,6), (3,7), (4,5), (4,6), (5,7)
1439484498611/3899967581776; (0,1), (0,3), (0,4), (0,6), (1,3), (1,5), (1,7), (2,3), (2,4), (2,5), (4,6), (4,7), (5,6), (5,7)
-160433506615/243747973861; (0,1), (0,3), (0,4), (0,7), (1,2), (1,5), (1,7), (2,5), (2,7), (3,4), (3,6), (4,6), (5,6), (6,7)
1306171845625/3899967581776; (0,1), (0,3), (0,5), (0,7), (1,2), (1,4), (1,7), (2,3), (2,4), (2,5), (3,6), (3,7), (4,6), (5,6)
172456854177/34821139123; (0,1), (0,3), (0,5), (0,7), (1,2), (1,4), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (5,6), (6,7)
-71291119684/34821139123; (0,1), (0,3), (0,5), (0,7), (1,3), (1,4), (1,7), (2,4), (2,6), (2,7), (3,5), (4,6), (5,6), (6,7)
-6543390501883/1949983790888; (0,1), (0,3), (0,5), (1,3), (1,4), (1,6), (1,7), (2,3), (2,5), (2,6), (3,5), (4,5), (4,7), (6,7)
1213197036741/974991895444; (0,1), (0,3), (0,6), (0,7), (1,2), (1,3), (1,6), (2,4), (2,5), (3,5), (4,5), (4,6), (4,7), (6,7)
5093519570861/3899967581776; (0,1), (0,3), (0,6), (0,7), (1,2), (1,6), (1,7), (2,4), (2,5), (3,5), (3,6), (4,5), (4,6), (4,7)
3782976198697/3899967581776; (0,1), (0,4), (0,5), (0,7), (1,2), (1,3), (1,7), (2,5), (2,7), (3,4), (3,6), (4,6), (5,6), (6,7)
